
2025/02/23 (23:20:43) | ===> btop++ v.1.4.0
2025/02/23 (23:20:43) | INFO: Logger set to DEBUG
2025/02/23 (23:20:44) | INFO: Logger set to INFO

2025/02/24 (15:33:40) | ===> btop++ v.1.4.0
2025/02/24 (15:33:40) | ERROR: Stall in Runner thread, restarting!

2025/02/28 (18:03:31) | ===> btop++ v.1.4.0
2025/02/28 (18:03:31) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2025/03/17 (09:48:59) | ===> btop++ v.1.4.0
2025/03/17 (09:48:59) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2025/03/26 (01:09:34) | ===> btop++ v.1.4.0
2025/03/26 (01:09:34) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found
